Country,River,X1 DO,X2 pH,X3 TDS,X5 Population,Land Area,X4 HPD,Y AQI
Argentina,Baker,9.665,7.903,46.985,44945529.000,2736690.000,16.423,26
Argentina,Chico,9.758,15.398,87.077,44945529.000,2736690.000,16.423,26
Argentina,Chubut,9.500,8.173,83.073,44945529.000,2736690.000,16.423,26
Argentina,Colorado,8.186,8.456,6484.512,44997832.000,2736690.000,16.442,26
Argentina,Gallegos,10.525,7.633,42.803,44945529.000,2736690.000,16.423,26
Argentina,La Plata,7.776,7.656,340.966,44997832.000,2736690.000,16.442,26
Argentina,Mar Chiquita,7.590,8.330,607.038,44945529.000,2736690.000,16.423,26
Argentina,Negro,14.262,8.100,117.536,44997832.000,2736690.000,16.442,26
Argentina,Palena,9.913,7.760,44.333,44945529.000,2736690.000,16.423,26
Argentina,Puelo,10.385,7.860,70.985,44945529.000,2736690.000,16.423,26
Argentina,Santa Cruz,7.765,7.430,27.645,44945529.000,2736690.000,16.423,26
Argentina,Valdiva,9.400,7.890,36.560,44945529.000,2736690.000,16.423,26
Argentina,Yelcho,9.665,7.535,49.265,44945529.000,2736690.000,16.423,26
Austria,Donau,7.502,8.534,185.787,9131604.500,82520.000,110.659,16
Canada,Churchill,10.050,7.960,194.850,37426197.000,8788700.000,4.258,13
Canada,Fraser,11.120,7.880,75.090,37426197.000,8788700.000,4.258,13
Canada,Mackenzie,12.660,8.070,198.430,37426197.000,8788700.000,4.258,13
Canada,Mississippi,9.050,7.980,622.790,37586748.500,8788700.000,4.277,13
Canada,Nelson-Saskatchewan,9.135,7.970,285.580,37586748.500,8788700.000,4.277,13
Germany,Rhine-Meuse,9.332,7.832,15.490,84386238.800,349390.000,241.524,16
Greece,Maritsa,6.200,7.250,167.330,10604260.000,128900.000,82.267,29
Greece,Nestos,7.850,7.477,109.600,10604260.000,128900.000,82.267,29
Greece,Struma,7.270,7.663,226.670,10604260.000,128900.000,82.267,29
Greece,Vardar,8.143,7.703,247.970,10604260.000,128900.000,82.267,29
Greece,Vijose,8.100,7.950,125.000,10604260.000,128900.000,82.267,29
India,Brahmani,6.797,7.470,90.947,1368620049.667,2973190.000,460.320,99
India,Cauvery,6.447,7.667,438.583,1368620049.667,2973190.000,460.320,99
India,Ganges-Brahmaputra-Meghna,6.690,7.643,204.650,1368620049.667,2973190.000,460.320,99
India,Godavari,6.307,7.650,226.103,1368620049.667,2973190.000,460.320,99
India,Indus,8.053,7.660,83.317,1368620049.667,2973190.000,460.320,99
India,Krishna,6.217,7.703,348.507,1368620049.667,2973190.000,460.320,99
India,Mahandi,6.737,7.643,130.180,1368620049.667,2973190.000,460.320,99
India,Mahi,7.063,8.123,270.610,1368620049.667,2973190.000,460.320,99
India,Muhuri,6.467,7.153,65.567,1368620049.667,2973190.000,460.320,99
India,Narmada,7.120,7.767,214.570,1368620049.667,2973190.000,460.320,99
India,Penner,6.220,7.663,440.183,1368620049.667,2973190.000,460.320,99
India,Subarnerekha,6.510,7.467,116.135,1368620049.667,2973190.000,460.320,99
India,Tapti,6.390,7.800,299.850,1368620049.667,2973190.000,460.320,99
Italy,Po,8.950,7.850,54.810,61327871.667,295720.000,207.385,23
Netherlands,Ems,8.192,7.432,15.445,17498821.400,33670.000,519.716,18
Netherlands,Rhine-Meuse,9.354,7.846,15.820,17498821.400,33670.000,519.716,18
Netherlands,Vecht,9.086,7.730,9.470,17498821.400,33670.000,519.716,18
South Korea,Han,6.814,7.649,102.340,51560021.000,97600.000,528.279,36
Switzerland,Po,8.950,7.850,54.810,8588130.000,39510.000,217.366,13
